"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000938",546.334972084691,3.19876286168581,0.40789552648467,6.42018039338372,1.36112953292154e-10,3.0359470720456e-07
"ENSG00000007237",296.790425359296,2.36346021751451,0.424778010476101,4.19857001428951,2.68605807054651e-05,0.0112876724367488
"ENSG00000008438",198.460565378507,2.91712366677063,0.381136605343731,6.13198426496684,8.67896897245469e-10,1.5728461520331e-06
"ENSG00000011422",383.855951064716,3.15500926515461,0.39277643806979,6.55591582277415,5.53014211265809e-11,1.60352000698634e-07
"ENSG00000018280",329.722273628292,2.51961259077693,0.400191316668513,4.84671333432142,1.25523598641091e-06,0.000836030962166002
"ENSG00000052344",9.07491261717931,-2.76451863988005,0.502139972072855,-4.35041773484446,1.35878425935369e-05,0.00615614193503432
"ENSG00000086205",5.16291969459506,-4.43791617439779,0.926180507544494,-4.16540419817943,3.10801418486201e-05,0.012345202644419
"ENSG00000090376",227.105508892084,2.50424868845718,0.362747745875876,5.30464685262473,1.12891330838609e-07,0.000112875759620563
"ENSG00000092067",19.1790562740303,3.63153842430793,0.629883796388338,4.84460537293547,1.26863575442489e-06,0.000836030962166002
"ENSG00000099985",132.239660825111,2.02385959357765,0.315056955613619,4.58285261712608,4.58675333922629e-06,0.0024181363604401
"ENSG00000100095",8.39102405303833,3.94872205210216,0.636354271357439,5.29378398752029,1.19810947843447e-07,0.000113576812294281
"ENSG00000100504",433.84858796,2.08692769449723,0.359465876525248,4.19213002653784,2.76347523669487e-05,0.0114471039947435
"ENSG00000100599",211.380363014484,2.47066434114053,0.360728405302731,5.24124053816567,1.59500634536134e-07,0.000144527512469054
"ENSG00000101916",74.525082549366,2.8308224024217,0.410033016430129,5.4893686903997,4.03372858210195e-08,4.87341641527617e-05
"ENSG00000102010",19.8215143808221,3.95652190788142,0.548729336618017,6.15334680061382,7.5864659220232e-10,1.46651443916657e-06
"ENSG00000112303",349.362109403149,2.81450929268744,0.396138024261417,5.64073417807742,1.69326602370751e-08,2.23172461924649e-05
"ENSG00000113916",575.590203021666,1.87523873326988,0.329557154751997,3.93024006486702,8.48610907564525e-05,0.0296461709346277
"ENSG00000115363",6.71944801822696,2.36157516503339,0.327596780185733,5.43831707998874,5.37861912368837e-08,5.99840154271031e-05
"ENSG00000115604",119.498946155973,2.19733843516721,0.384133254180301,4.21035777966799,2.54966587895393e-05,0.0108720752685512
"ENSG00000115607",107.16523145961,2.52897250185418,0.465548238158095,4.18640291619433,2.83410072099051e-05,0.011574307676879
"ENSG00000118520",190.466551792986,2.07902928809897,0.342748435667739,4.3735554479733,1.22239178611557e-05,0.00571685035971083
"ENSG00000121316",375.810993770608,2.46546125825921,0.404975291744422,4.65574393474138,3.22812945695648e-06,0.00176609135347
"ENSG00000121552",100.902725566065,2.48787990206763,0.470867910628471,4.05183674445168,5.08171199474326e-05,0.0193880685525757
"ENSG00000125810",153.139975598117,2.95805831604065,0.434669977486227,5.47095138659767,4.47626080905961e-08,5.19174633677969e-05
"ENSG00000127507",79.2744245250789,1.98682561120123,0.33927259926685,4.14659366610008,3.37458165162123e-05,0.013222887779785
"ENSG00000128383",203.212152611578,2.09100451657062,0.37582600997117,4.02048947247299,5.80773447883361e-05,0.0215898806343922
"ENSG00000128594",72.4754547411883,2.0707692865064,0.320192135882192,4.65585852818978,3.22633426488918e-06,0.00176609135347
"ENSG00000130940",30.5711773697499,2.0891773423748,0.339771084693804,4.44174743043497,8.92312618059344e-06,0.00424155683168012
"ENSG00000133246",83.628286620896,2.95107317998864,0.405121407413664,5.85274719281266,4.83518818309015e-09,7.37900613457274e-06
"ENSG00000135636",413.084635734373,3.59427303705276,0.383723062547811,7.85533456612915,3.98706428117455e-15,2.39162315031332e-11
"ENSG00000136689",218.786736396097,1.84091471156946,0.29852314757352,4.22384234461727,2.40172089171786e-05,0.0103940744740673
"ENSG00000137462",229.158234320235,3.19105140236578,0.400116064552282,6.52573498963974,6.76688740272248e-11,1.78375151935765e-07
"ENSG00000140379",573.210006052681,3.71334371655749,0.315608792941141,9.92793542714075,3.14703875063084e-23,9.1251535613292e-19
"ENSG00000140932",61.1802419455511,3.99063182146576,0.434414547296976,7.8510994686699,4.12405702564719e-15,2.39162315031332e-11
"ENSG00000142347",608.779240133122,2.43330447470245,0.384375028323372,4.82160478214854,1.42407882406929e-06,0.000878565735802408
"ENSG00000142405",47.6294556139527,2.99385976156351,0.476937805134543,5.06116255741683,4.16707732223948e-07,0.000317969931672779
"ENSG00000142748",4.32077705976855,3.44703804102067,0.557156514719962,5.14583957159991,2.66326960098025e-07,0.000225974201534338
"ENSG00000143110",296.693968903327,1.69051723668886,0.254407495736248,4.36511209496816,1.27057586012407e-05,0.005847875815898
"ENSG00000145491",11.4384958450936,2.74072002643771,0.480974125432778,4.49238308712243,7.04305845528391e-06,0.00346136479609173
"ENSG00000150337",31.3954518678537,3.90378378779739,0.405785221986656,8.19099269195834,2.59080323527757e-16,2.50409768700361e-12
"ENSG00000151726",1125.95789618187,2.16734754392941,0.303902600076295,5.22321146160286,1.75846381942218e-07,0.000154510354266562
"ENSG00000154269",30.2293615173112,2.21252886503518,0.289354911969054,5.64196008951726,1.68125076766277e-08,2.23172461924649e-05
"ENSG00000154529",5.70814955916319,3.33076486942881,0.674542446799113,4.07797149383547,4.5430334940531e-05,0.0175639732258085
"ENSG00000157557",228.971513975229,3.39260441171604,0.400620833281245,7.02061445152435,2.20894627955261e-12,9.15008661741537e-09
"ENSG00000158869",510.461310054906,3.06663976869287,0.382015063877018,6.50927150216618,7.55161278301464e-11,1.82472136880244e-07
"ENSG00000159496",108.130947355409,3.73016634640503,0.336538714989009,9.36048723698227,7.93698262502505e-21,1.15070374097613e-16
"ENSG00000160593",319.988505116989,2.08840294395137,0.397231204571547,3.7972921729005,0.000146285331942015,0.0447745762693091
"ENSG00000163464",86.5558167915816,2.53373036647038,0.500496018977486,3.90358822526073,9.47769787992309e-05,0.0319665432693367
"ENSG00000163661",44.5574085323965,3.86073242819258,0.459041306504598,7.14692203447647,8.87452473259958e-13,4.28876198577429e-09
"ENSG00000163739",66.317856518022,2.49793665914156,0.50020153781247,3.83432779421125,0.000125908144311388,0.0401190390379453
"ENSG00000163803",101.252144795094,1.9571435132419,0.277814483313651,4.95706162189937,7.15672832413555e-07,0.000494086891634844
"ENSG00000166922",71.7492003108066,2.44659801916334,0.317600256847084,5.8771930403761,4.1728150378986e-09,6.72194137993933e-06
"ENSG00000167680",11.25350630802,2.66403483250552,0.460354972400873,4.52701710081836,5.98221007766511e-06,0.00304316076161364
"ENSG00000169385",431.369201787714,2.66459789360727,0.523805722866776,3.97971576598727,6.89977129064989e-05,0.0243982644321566
"ENSG00000169554",267.56088419167,1.96881229187243,0.367331449559024,3.78081510183699,0.000156315737794412,0.0472138659696538
"ENSG00000169896",568.291727856863,3.51301792354287,0.419916522568924,6.98476427076396,2.85334665031384e-12,1.03419549340625e-08
"ENSG00000170837",19.7183147232628,2.16705267513184,0.420981507098825,3.76988691514966,0.000163321532638549,0.0488213521689419
"ENSG00000170909",99.5055721737868,2.78999570588324,0.39016550162423,5.6642519563703,1.47667297175938e-08,2.14088047445675e-05
"ENSG00000171236",124.39192646782,2.8601736443188,0.443496694309477,5.14135431802716,2.7276510738384e-07,0.000225974201534338
"ENSG00000172000",5.73971913488137,2.03020447576893,0.300369387651266,4.82807015424836,1.3786253034983e-06,0.000869013463048621
"ENSG00000172572",119.625132514311,2.65622167975051,0.529575881356216,3.92053670275432,8.83519779207913e-05,0.0304982613308484
"ENSG00000172673",11.8339745712058,3.26473207016914,0.533437928164875,5.0328856056507,4.83151458847166e-07,0.000359216915403395
"ENSG00000172927",5966.5738294123,-2.02610278444648,0.315438666474511,-4.58441826618404,4.55252120536362e-06,0.0024181363604401
