"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","thresh"
"ENSG00000000003",261.339887798027,0.0888304259408142,0.402004817599082,0.220968560703679,0.82511691282521,0.961882973003602,FALSE
"ENSG00000000419",1759.13303806539,0.135557182532724,0.0812291059056599,1.6688252446132,0.0951520181527384,0.490732689205753,FALSE
"ENSG00000000457",772.095987580557,0.0267655391806129,0.0841943809078592,0.317901728025111,0.750559481774393,0.941845446554304,FALSE
"ENSG00000000460",228.337926061079,0.151248385242048,0.149729781956569,1.01014229277325,0.31242712216119,0.74076742514929,FALSE
"ENSG00000000938",546.334972084691,3.19876286168581,0.40789552648467,7.8421131245381,4.4302696629616e-15,9.88154608824882e-12,TRUE
"ENSG00000000971",353.971985129199,0.345317460735542,0.430615546842903,0.801915916104907,0.422601598692505,0.807004956270652,FALSE
"ENSG00000001036",2015.9510085759,-0.0595125990851042,0.146605632407177,-0.405936648598984,0.68478914918105,0.925748464339452,FALSE
"ENSG00000001084",1119.9452528202,-0.0235418185760763,0.0787670749312884,-0.298878923669728,0.765032428964034,0.946526792087774,FALSE
"ENSG00000001167",2142.0438579891,-0.134479901470023,0.0731138257577814,-1.83932245476446,0.0658677722143083,0.43083733885091,FALSE
"ENSG00000001460",188.186077992433,0.358403278954161,0.15824288167204,2.26489353054728,0.02351921387852,0.289519961300884,FALSE
"ENSG00000001461",1923.01769821609,0.0253328464417214,0.0958851129128137,0.264199995934259,0.791625814199509,0.95137942316759,FALSE
"ENSG00000001497",2242.47032159361,0.014249229817362,0.0516938962264622,0.275646272723157,0.782819765455167,0.94966959038218,FALSE
"ENSG00000001561",1534.95943575982,0.221058882367804,0.180956838564517,1.22161109865428,0.221854729534992,0.666003987007867,FALSE
"ENSG00000001617",11.2497452951552,0.952905932663046,0.317613184462767,3.00020899407831,0.002697944183734,0.0901262552437223,FALSE
"ENSG00000001626",10.2072939856757,0.264900902555801,0.455981546000665,0.580946542418659,0.561276482835685,0.877630117358905,FALSE
"ENSG00000001629",4070.89603770672,-0.0460362169507835,0.0759629814679744,-0.606034887798501,0.544491586484038,0.870444012418656,FALSE
"ENSG00000001630",172.051575955561,-0.146627577969187,0.119648500546106,-1.2254861306238,0.220392112581494,0.664736371158584,FALSE
"ENSG00000001631",412.831709104572,0.0523208650385392,0.0757981994897032,0.690265275307057,0.490027380708449,0.845633595813385,FALSE
"ENSG00000002016",453.023398405808,0.0552628918752761,0.0902539187432137,0.612304625049108,0.540336230215556,0.869672776865912,FALSE
"ENSG00000002079",4.57806883498628,-0.215246213984739,0.347224379103967,-0.619905245536603,0.535320172069472,0.867659057250427,FALSE
"ENSG00000002330",321.063765429558,0.0797977605638977,0.0963307146060991,0.828372974187875,0.407459307100632,0.799911311353414,FALSE
"ENSG00000002549",6842.58610188391,0.139984013009236,0.12326651556285,1.13562075126446,0.256115320286347,0.699519062920306,FALSE
"ENSG00000002586",1028.58772505062,-0.0554465030495439,0.379545286554758,-0.146086659520522,0.883852977593258,0.975229125817633,FALSE
"ENSG00000002587",30.6700531944259,0.994048297904854,0.33428954154716,2.97361470928524,0.0029431437609894,0.0948215516596097,FALSE
"ENSG00000002726",21.776186397274,3.26157345049717,0.381701895138943,8.54481859281816,NA,NA,NA
"ENSG00000002745",176.920465346705,-1.10792343474826,0.278640546974856,-3.97617448995405,7.00327477333299e-05,0.00688362560432418,FALSE
"ENSG00000002746",12.2811728288401,0.146140622427035,0.496863418125892,0.2941263475952,0.768661358405301,0.947583212802181,FALSE
"ENSG00000002822",9.2812441429356,-0.256088071462003,0.171287449092783,-1.49507785198719,0.134894125357606,0.556825498524003,FALSE
"ENSG00000002834",4189.31711717398,0.351562356074439,0.107234122000831,3.27845605032057,0.00104376616220688,0.0506952154762993,FALSE
"ENSG00000002919",958.433713172851,0.191764100773202,0.0775238680285978,2.4736136837556,0.0133754241660228,0.217273837040894,FALSE
"ENSG00000002933",158.628483287573,0.50109166910117,0.456014442994367,1.0988504351108,0.271833309024056,0.711609194777585,FALSE
"ENSG00000003056",3058.98145652309,0.114413903483233,0.075726484673981,1.51088359608676,0.130818110958698,0.550335077631559,FALSE
"ENSG00000003096",26.9361717644786,-0.325621058652248,0.500559896301185,-0.650513676901361,0.515360470131772,0.857042451935126,FALSE
"ENSG00000003137",9.7283853527138,-0.417888309267724,0.31978333478659,-1.30678576338759,0.191285481588757,0.635339498756884,FALSE
"ENSG00000003147",662.223869423525,-0.326516853372634,0.268215498937079,-1.21736758191305,0.223464391557265,0.667434032678754,FALSE
"ENSG00000003249",72.8464785301641,-0.504430660752368,0.264112429678758,-1.90990882695642,0.0561449533568977,0.408578257932367,FALSE
"ENSG00000003393",1106.21931707779,0.248688156996267,0.106585203198415,2.33323340889371,0.0196358982833962,0.265171888154399,FALSE
"ENSG00000003400",10092.1926292885,-0.0895641259752136,0.102334414669355,-0.875210223897771,0.381459531301204,0.784787893402136,FALSE
"ENSG00000003402",22699.2697427844,0.235198391991712,0.126744571279851,1.85568809469871,0.0634980287194104,0.425413318102593,FALSE
"ENSG00000003436",117.593054148683,-0.29729042612791,0.363574456051257,-0.817687879827282,0.413535432910584,0.802978196790684,FALSE
"ENSG00000003509",738.988504431274,0.072491942769894,0.0736507912328776,0.984265634576561,0.324984921740181,0.749316829088149,FALSE
"ENSG00000003756",5359.94352408049,-0.157756633464793,0.0702981680044589,-2.24410732090183,0.0248254970487968,0.295624586110311,FALSE
"ENSG00000003987",101.783276116497,-0.0111283506634196,0.110049824838729,-0.101121021134995,0.91945439112441,0.983406134386313,FALSE
