"","SYMBOL","GENEID"
"170","NUP210L","ENSG00000143552"
"171","RIT1","ENSG00000143622"
"172","MBOAT2","ENSG00000143797"
"173","DQX1","ENSG00000144045"
"174","IL17RD","ENSG00000144730"
"175","ROPN1L","ENSG00000145491"
"176","CREB5","ENSG00000146592"
"177","DOCK5","ENSG00000147459"
"178","GSN","ENSG00000148180"
"179","PROSER2","ENSG00000148426"
"180","CAPN5","ENSG00000149260"
"181","GPHA2","ENSG00000149735"
"182","FCGR1A","ENSG00000150337"
"183","PRSS23","ENSG00000150687"
"184","ADAMTS12","ENSG00000151388"
"185","ADAM8","ENSG00000151651"
"186","ACSL1","ENSG00000151726"
"187","GRID2","ENSG00000152208"
"188","PDE3B","ENSG00000152270"
"189","TCTEX1D1","ENSG00000152760"
"190","CPB1","ENSG00000153002"
"191","CLGN","ENSG00000153132"
"192","ENPP3","ENSG00000154269"
"193","GPR26","ENSG00000154478"
"194","CNTNAP3B","ENSG00000154529"
"195","NCAM2","ENSG00000154654"
"196","JAM2","ENSG00000154721"
"197","DKK2","ENSG00000155011"
"198","SLA","ENSG00000155926"
"199","TDRD9","ENSG00000156414"
"200","NODAL","ENSG00000156574"
"201","SYN2","ENSG00000157152"
"202","KCNJ15","ENSG00000157551"
"203","ETS2","ENSG00000157557"
"204","HPD","ENSG00000158104"
"205","CD1C","ENSG00000158481"
"206","ALAS2","ENSG00000158578"
"207","FCER1G","ENSG00000158869"
"208","RGL4","ENSG00000159496"
"209","ZYX","ENSG00000159840"
"210","TFF2","ENSG00000160181"
"211","JAML","ENSG00000160593"
"212","LMNA","ENSG00000160789"
"213","PTH1R","ENSG00000160801"
"214","FCRL3","ENSG00000160856"
"215","NPHS1","ENSG00000161270"
"216","ITGA5","ENSG00000161638"
"217","ALOX15","ENSG00000161905"
"218","CXCL16","ENSG00000161921"
"219","SLC1A7","ENSG00000162383"
"220","NLRP3","ENSG00000162711"
"221","FCGR3B","ENSG00000162747"
"222","OXER1","ENSG00000162881"
"223","CDC42EP3","ENSG00000163171"
"224","PROK2","ENSG00000163421"
